               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.013458,           0.0039862,                   0,             0.99981,                   1,               0.995,             0.71781,            0.020269,           0.0051393,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.013176,            0.004151,                   0,             0.99979,                   1,               0.995,             0.71643,            0.020093,           0.0050581,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.013319,           0.0041277,                   0,             0.99987,                   1,               0.995,             0.72307,             0.02025,           0.0051109,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.013258,           0.0041854,                   0,             0.99988,                   1,               0.995,             0.72642,            0.019693,           0.0049291,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.012982,           0.0040066,                   0,             0.99972,                   1,               0.995,               0.724,            0.020164,           0.0050664,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.013321,           0.0040741,                   0,             0.99958,                   1,               0.995,             0.71275,            0.020573,           0.0051944,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.013256,           0.0040952,                   0,             0.99972,                   1,               0.995,             0.72149,            0.020188,           0.0050739,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.013172,           0.0040225,                   0,             0.99967,                   1,               0.995,             0.72037,            0.019896,           0.0050481,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.01339,           0.0039253,                   0,             0.99942,             0.99667,               0.995,             0.72992,            0.019482,           0.0050132,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.012873,           0.0040016,                   0,             0.99898,                   1,               0.995,             0.71748,            0.020012,           0.0051676,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.013187,           0.0040571,                   0,             0.99957,                   1,               0.995,             0.71604,             0.01967,           0.0051203,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.012692,           0.0039671,                   0,             0.99982,                   1,               0.995,             0.72568,            0.019846,           0.0051195,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.012697,           0.0040024,                   0,             0.99977,                   1,               0.995,             0.71946,            0.019775,           0.0050651,                   0,            0.005479,            0.005479,            0.005479
